episode,step,timestep,actor_loss,critic_loss,entropy,action_std,step_reward,cumulative_reward
0,1,64,5.157795211402111e+23,0.1290778387337923,-24.383926391601562,0.2,-0.1,-6.399999999999993
0,2,128,3.058249354129874e+24,0.27917291298508645,-24.383926391601562,0.2,-0.1,-12.79999999999997
0,3,192,2.0328396596438893e+19,0.2686488121747971,-24.383926391601562,0.2,-0.1,-19.200000000000003
0,200,-20.000000000000014,200,0.2,episode_length
1,4,256,1.5495539284096457e+20,0.19412879049777984,-24.383926391601562,0.2,-0.1,-5.599999999999996
1,5,320,1.0496393489888668e+25,0.27096766158938407,-24.383926391601562,0.2,-0.1,-11.999999999999973
1,6,384,6.29396352594606e+19,0.2821041211485863,-24.383926391601562,0.2,-0.1,-18.39999999999999
1,400,-20.000000000000014,200,0.2,episode_length
2,7,448,8.696348254675919e+21,0.38715861439704896,-24.383926391601562,0.2,-0.1,-4.799999999999999
2,8,512,4.231508603045008e+23,0.43562581688165664,-24.383926391601562,0.2,-0.1,-11.199999999999976
2,9,576,1.4810978391343235e+18,0.5494847297668457,-24.383926391601562,0.2,-0.1,-17.59999999999998
2,600,-20.000000000000014,200,0.2,episode_length
3,10,640,2.555369928675244e+21,0.4534152239561081,-24.383926391601562,0.2,-0.1,-4.000000000000002
3,11,704,7.329355291246424e+22,0.4838737905025482,-24.383926391601562,0.2,-0.1,-10.399999999999979
3,12,768,1.117451490392235e+19,0.5388393938541413,-24.383926391601562,0.2,-0.1,-16.79999999999997
3,800,-20.000000000000014,200,0.2,episode_length
4,13,832,5.183995503915248e+24,0.4010518595576286,-24.383926391601562,0.2,-0.1,-3.2000000000000015
4,14,896,7.884865284009571e+19,0.28908043503761294,-24.383926391601562,0.2,-0.1,-9.599999999999982
4,15,960,1.1004407494612091e+18,0.4650867164134979,-24.383926391601562,0.2,-0.1,-15.99999999999996
4,1000,-20.000000000000014,200,0.2,episode_length
5,16,1024,1.3101097673911834e+27,0.5451361417770386,-24.383926391601562,0.2,-0.1,-2.400000000000001
5,17,1088,6.584412681378252e+21,0.4810384601354599,-24.383926391601562,0.2,-0.1,-8.799999999999985
5,18,1152,1.429163197669867e+24,0.5448828876018524,-24.383926391601562,0.2,-0.1,-15.199999999999962
5,1200,-20.000000000000014,200,0.2,episode_length
6,19,1216,4.121667849952923e+20,0.4608778923749924,-24.383926391601562,0.2,-0.1,-1.6000000000000003
6,20,1280,1.0378951746105681e+23,0.31290206760168077,-24.383926391601562,0.2,-0.1,-7.999999999999988
6,21,1344,1.504793023963867e+22,0.45477754473686216,-24.383926391601562,0.2,-0.1,-14.399999999999965
6,1400,-20.000000000000014,200,0.2,episode_length
7,22,1408,1.1483333850808447e+21,0.47970743775367736,-24.383926391601562,0.2,-0.1,-0.7999999999999999
7,23,1472,6.654929369362121e+26,0.5378180682659149,-24.383926391601562,0.2,-0.1,-7.19999999999999
7,24,1536,5.005568334232939e+24,0.5124966323375701,-24.383926391601562,0.2,-0.1,-13.599999999999968
7,25,1600,3.7629111327523607e+25,0.5168412536382675,-24.383926391601562,0.2,-0.1,-20.000000000000014
7,1600,-20.000000000000014,200,0.2,episode_length
8,26,1664,4.618878663349066e+24,0.5437745928764344,-24.383926391601562,0.2,-0.1,-6.399999999999993
8,27,1728,7.319881338926302e+22,0.5590561658143998,-24.383926391601562,0.2,-0.1,-12.79999999999997
8,28,1792,7.393581125532355e+22,0.5292956590652466,-24.383926391601562,0.2,-0.1,-19.200000000000003
8,1800,-20.000000000000014,200,0.2,episode_length
9,29,1856,3.723848977457354e+21,0.5427461117506027,-24.383926391601562,0.2,-0.1,-5.599999999999996
9,30,1920,2.1304511451999348e+26,0.5093746483325958,-24.383926391601562,0.2,-0.1,-11.999999999999973
9,31,1984,1.0383088523321279e+18,0.485833677649498,-24.383926391601562,0.2,-0.1,-18.39999999999999
9,2000,-20.000000000000014,200,0.2,episode_length
10,32,2048,4.1374549960814385e+22,0.541521954536438,-24.383926391601562,0.2,-0.1,-4.799999999999999
10,33,2112,2.0932934702778818e+24,0.46216039955615995,-24.383926391601562,0.2,-0.1,-11.199999999999976
10,34,2176,6.34273211130839e+17,0.5411073565483093,-24.383926391601562,0.2,-0.1,-17.59999999999998
10,2200,-20.000000000000014,200,0.2,episode_length
11,35,2240,6.777589647288566e+17,0.39105075895786284,-24.383926391601562,0.2,-0.1,-4.000000000000002
