episode,step,timestep,actor_loss,critic_loss,entropy,action_std,step_reward,cumulative_reward
0,1,128,-0.5161704272031784,0.7793682413175702,58.97226905822754,0.2,-0.1,-12.79999999999997
0,2,256,-0.4801786169409752,0.6316527426242828,58.99147987365723,0.2,-0.1,-25.600000000000094
0,3,384,-0.4315241128206253,0.49577362835407257,59.01067924499512,0.2,-0.1,-38.400000000000276
0,4,512,-0.3087683692574501,0.5090862512588501,59.029884338378906,0.2,-0.1,-51.20000000000046
0,5,640,-0.4338035359978676,0.49929007701575756,59.04908561706543,0.2,-0.1,-64.00000000000064
0,640,-64.00000000000064,640,0.2,episode_length
1,6,768,-0.39136458933353424,0.5967022255063057,59.06829071044922,0.2,-0.1,-12.79999999999997
1,7,896,-0.34192680567502975,0.4838453084230423,59.08749198913574,0.2,-0.1,-25.600000000000094
1,8,1024,-0.3044670596718788,0.4996718391776085,59.10669708251953,0.2,-0.1,-38.400000000000276
1,9,1152,-0.3140689581632614,0.45898226648569107,59.12589645385742,0.2,-0.1,-51.20000000000046
1,10,1280,-0.4452182352542877,0.47046325728297234,59.145103454589844,0.2,-0.1,-64.00000000000064
1,1280,-64.00000000000064,640.0,0.2,episode_length
2,11,1408,-0.44839753955602646,0.49698539450764656,59.16430473327637,0.2,-0.1,-12.79999999999997
2,12,1536,-0.47936850786209106,0.5612460225820541,59.18350791931152,0.2,-0.1,-25.600000000000094
2,13,1664,-0.4023574963212013,0.45657364651560783,59.20271110534668,0.2,-0.1,-38.400000000000276
2,1714,-48.300000000000345,434.0,0.2,collision
3,14,1792,-0.30534568428993225,0.4837149381637573,59.22191619873047,0.2,-0.1,-7.799999999999988
3,1834,-16.899999999999974,120.0,0.2,collision
4,15,1920,-0.3243240714073181,0.5255530811846256,59.24111366271973,0.2,-0.1,-8.599999999999985
4,16,2048,-0.3073234260082245,0.5052461586892605,59.26032257080078,0.2,-0.1,-21.400000000000034
4,2139,-35.40000000000016,305.0,0.2,collision
5,17,2176,-0.32441746443510056,0.48943373560905457,59.279523849487305,0.2,-0.1,-3.700000000000002
5,2231,-14.099999999999984,92.0,0.2,collision
6,18,2304,-0.3343989849090576,0.537919394671917,59.29872512817383,0.2,-0.1,-7.29999999999999
6,19,2432,-0.32351021468639374,0.45934298634529114,59.31793022155762,0.2,-0.1,-20.100000000000016
6,2439,-25.700000000000024,208.0,0.2,collision
7,20,2560,-0.4095076099038124,0.5120281428098679,59.337135314941406,0.2,-0.1,-12.099999999999973
7,21,2688,-0.5006137788295746,0.4819808342726901,59.35633659362793,0.2,-0.1,-24.900000000000084
7,2808,-41.80000000000025,369.0,0.2,collision
8,22,2816,-0.2914295196533203,0.5182436257600784,59.37554168701172,0.2,-0.1,-0.7999999999999999
8,23,2944,-0.4186384230852127,0.46613514237105846,59.39474105834961,0.2,-0.1,-13.599999999999968
8,24,3072,-0.42316871136426926,0.47277360409498215,59.41394805908203,0.2,-0.1,-26.400000000000105
8,25,3200,-0.3868565335869789,0.4841475635766983,59.43314743041992,0.2,-0.1,-39.20000000000029
8,26,3328,-0.41323599964380264,0.5683680698275566,59.45235633850098,0.2,-0.1,-52.00000000000047
