episode,timestep,episode_reward,episode_length,action_std,termination_reason
0,14,-6.3,14,0.2,collision
1,39,-2.500000000000001,25.0,0.2,collision
2,84,-9.4,45.0,0.2,collision
3,93,-5.8,9.0,0.2,collision
4,1,128,-0.41494106004635495,3.5977913996515176,59.02028147379557,0.2,-0.1,-3.5000000000000018
4,133,-8.900000000000002,40.0,0.2,collision
5,174,-4.100000000000001,41.0,0.2,collision
6,196,-2.2000000000000006,22.0,0.2,collision
7,2,256,-0.2718066486219565,0.3876281126091878,59.135500272115074,0.2,-0.1,-5.999999999999995
7,279,-8.299999999999986,83.0,0.2,collision
8,320,-9.000000000000002,41.0,0.2,collision
9,332,-6.1,12.0,0.2,collision
