episode,step,timestep,actor_loss,critic_loss,entropy,action_std,step_reward,cumulative_reward
0,1,128,-0.26976144189635914,0.9640530981123447,59.02028147379557,0.2,-0.1,-12.79999999999997
0,130,-17.89999999999997,130,0.2,collision
1,2,256,-0.23953848332166672,0.549065592388312,59.135500272115074,0.2,-0.1,-12.599999999999971
1,345,-26.400000000000034,215.0,0.2,collision
2,3,384,-0.24462796499331793,0.41060538465778035,59.25071875254313,0.2,-0.1,-3.900000000000002
2,4,512,-0.2779446778198083,0.41672310667733353,59.36593882242838,0.2,-0.1,-16.699999999999967
2,521,-22.49999999999998,176.0,0.2,collision
3,5,640,-0.2971431004504363,0.5392548429469267,59.4811585744222,0.2,-0.1,-11.899999999999974
3,6,768,-0.2608904428780079,0.6188909926762184,59.59637705485026,0.2,-0.1,-24.70000000000008
3,7,896,-0.2587006439765294,0.5719842029114565,59.71159648895264,0.2,-0.1,-37.50000000000026
3,8,1024,-0.2887831727663676,0.49246395751833916,59.82681369781494,0.2,-0.1,-50.300000000000445
3,1089,-61.700000000000536,568.0,0.2,collision
4,1135,-9.5,46.0,0.2,collision
5,9,1152,-0.2736816418667634,0.6224844952424368,59.942033449808754,0.2,-0.1,-1.7000000000000004
