episode,timestep,episode_reward,episode_length,termination_reason
0,25,-0.5687692484899785,25,collision
1,40,-2.7074111960770013,15.0,collision
2,52,-1.3952654838206375,12.0,collision
3,62,3.7512364409062293,10.0,collision
4,123,1.0799883951256186,61.0,collision
5,1,128,-0.2761695409814517,0.46659443030754727,59.02028147379557,0.2,-0.054000000000000006,-1.21
5,136,8.53403406861613,13.0,collision
6,160,8.819138140165771,24.0,collision
7,180,4.119528466364832,20.0,collision
8,200,15.12518434844835,20.0,collision
9,214,6.105547897790839,14.0,collision
10,236,10.295937454178706,22.0,collision
11,2,256,-0.2784249968826771,0.44629329442977905,59.135500272115074,0.2,-0.053000000000000005,8.289588946351758
11,258,3.2355889463517578,22.0,collision
12,286,18.186853486012655,28.0,collision
13,331,-3.061719690623198,45.0,collision
14,343,-0.8144348985733805,12.0,collision
15,358,20.518310736503008,15.0,collision
16,378,1.474292301244506,20.0,collision
17,3,384,-0.35815175125996274,0.47732403377691907,59.25071875254313,0.2,-0.05600000000000001,-0.321
17,397,9.87932071666614,19.0,collision
18,410,29.82709364791709,13.0,collision
19,429,-3.5938783487085564,19.0,collision
20,444,10.289886061341921,15.0,collision
21,466,-5.029982363953479,22.0,collision
22,479,-1.324808136991475,13.0,collision
23,499,-3.5919579680649534,20.0,collision
24,4,512,-0.289069024225076,0.4841923490166664,59.36593882242838,0.2,-0.062,13.144950327407805
24,519,8.610537290744228,20.0,collision
25,578,13.761171056810149,59.0,collision
26,607,2.7508398191018024,29.0,collision
27,625,-1.1924746406376872,18.0,collision
28,5,640,-0.2767147993048032,0.4872492166856925,59.4811585744222,0.2,-5.0,10.613642290310363
28,640,10.613642290310363,15.0,collision
29,652,-3.623712313231837,12.0,collision
30,692,-2.3986014338898882,40.0,collision
31,708,-1.5944660571228013,16.0,collision
32,724,5.160343054719549,16.0,collision
33,742,25.389414373904106,18.0,collision
34,759,-2.2062433078193293,17.0,collision
35,6,768,-0.333354605982701,0.48100323354204494,59.59637705485026,0.2,0.5248073540396295,0.2997118317286682
35,776,1.3413123052975457,17.0,collision
36,815,-2.0696466124063324,39.0,collision
37,831,3.5731933833995875,16.0,collision
38,854,-0.2726392077408004,23.0,collision
39,1,896,-0.2420673711846272,0.48261635688443977,49.44430939356486,0.2,-0.07900000000000001,-0.09741639738831553
39,915,0.9982075035402946,61.0,collision
40,927,27.12294442602215,12.0,collision
41,1002,20.114340030450528,75.0,collision
42,2,1024,-0.3282290498415629,0.47832490007082623,59.81169573465983,0.2,-0.051000000000000004,9.364693194958404
42,1028,4.323842622825984,26.0,collision
43,1064,14.61039107625994,36.0,collision
44,1122,2.8804914203752574,58.0,collision
45,1134,1.4483026923515805,12.0,collision
46,3,1152,-0.27323339010278386,0.47051658605535823,59.925805727640785,0.2,-0.051000000000000004,14.148314349352459
46,1154,9.09631434935246,20.0,collision
47,1172,61.64847800058145,18.0,collision
48,1187,2.1954484811281647,15.0,collision
49,1201,48.07749739125144,14.0,collision
50,1240,27.694471495872385,39.0,collision
51,1270,9.770829746782946,30.0,collision
52,4,1280,-0.3360859925548236,0.479201503098011,60.042317708333336,0.2,-0.053000000000000005,-0.13088963098519074
52,1291,11.140776833800818,21.0,collision
53,1308,12.052852550343268,17.0,collision
54,1353,20.196515934727913,45.0,collision
55,1383,21.231627451467872,30.0,collision
56,5,1408,-0.28235358123977977,0.4519752884904544,60.15887196858724,0.2,1.4640237342515607,11.845000209304756
56,1426,44.50546012099419,43.0,collision
57,1511,35.02438442901521,85.0,collision
58,6,1536,-0.2534992955625057,0.4790185255308946,60.27530384063721,0.2,-0.05700000000000001,0.1989815690654707
58,1566,1.7818891201455536,55.0,collision
59,1598,12.266194599565498,32.0,collision
60,1634,6.5067453766370935,36.0,collision
61,1655,13.631609171046506,21.0,collision
62,7,1664,-0.28646019970377284,0.47125299150745076,60.39161904652914,0.2,0.10532982392211102,-0.11428999043878726
62,1680,18.34254378587279,25.0,collision
63,1723,9.082352695617304,43.0,collision
64,1744,6.450165796916977,21.0,collision
65,1784,8.250146817357452,40.0,collision
66,8,1792,-0.3208479459087054,0.4735741789142291,60.507823626200356,0.2,0.5485651422530204,-0.6803708246432483
66,1816,15.095669918159079,32.0,collision
67,1833,23.13931986285453,17.0,collision
68,1872,25.242328880383393,39.0,collision
69,1889,6.108891521596183,17.0,collision
70,9,1920,-0.29058589165409404,0.5399850135048231,60.62396049499512,0.2,-0.051000000000000004,8.40764653551783
70,1925,5.78754098506241,36.0,collision
71,1936,-2.822963497546844,11.0,collision
72,1952,26.306421135653636,16.0,collision
73,1975,29.647057664139624,23.0,collision
74,2005,3.707264853237856,30.0,collision
75,10,2048,-0.29029473289847374,0.5011917712787787,60.74000612894694,0.2,-0.05600000000000001,-2.182348427977195
75,2060,12.558476631909759,55.0,collision
76,2094,83.05707643249663,34.0,collision
77,2167,90.26215337175914,73.0,collision
78,11,2176,-0.27843547612428665,0.48223644370834035,60.85600789388021,0.2,-0.05700000000000001,-0.2540351223095384
78,2190,9.932730037654887,23.0,collision
79,2220,13.222550560425884,30.0,collision
80,2234,2.3795051976519757,14.0,collision
81,2266,5.396117654939967,32.0,collision
82,12,2304,-0.30473071585098904,0.48641955231626827,60.971916834513344,0.2,-0.05500000000000001,5.288350227112597
82,2328,11.89867749480291,62.0,collision
83,2355,12.307094995694921,27.0,collision
84,2374,1.68633832533249,19.0,collision
85,2391,16.05345567723578,17.0,collision
86,2426,5.82997822127996,35.0,collision
87,13,2432,-0.29444360236326855,0.48040328609446686,61.08782354990641,0.2,-0.05600000000000001,-0.321
87,2447,14.42628566106729,21.0,collision
88,2462,11.472210224228014,15.0,collision
